Pos.,FIELDNAME,Description,Detail Desc.,DATATYPE,LENG,DECIMALS,External Length,Conversion Routines,Format,KEYFLAG
1,PRODUCTFK,ProductFK,,NUMC,4,0,4,,Internal,X
2,ORDERDATEKEY,OrderDateKey,,DATS,8,0,10,RSDAT,External,
3,DUEDATEKEY,DueDateKey,,DATS,8,0,10,RSDAT,External,
4,SHIPDATEKEY,ShipDateKey,,DATS,8,0,10,RSDAT,External,
5,RESELLERKEY,ResellerKey,,NUMC,4,0,4,,Internal,X
6,EMPKEY,EmpKey,,NUMC,4,0,4,,Internal,X
7,PROMOKEY,PromoKey,,NUMC,3,0,3,,Internal,X
8,CURRENCYKEY,CurrencyKey,,NUMC,3,0,3,,Internal,
9,SALESTERRITORYKE,SalesTerritoryKey,,NUMC,3,0,3,,Internal,X
10,SALESORDERNUM,SalesOrderNum,,CHAR,7,0,7,,Internal,
11,SALESORDERLINENU,SalesOrderLineNum,,NUMC,2,0,2,,Internal,
12,REVISIONNUMBER,RevisionNumber,,NUMC,1,0,1,,Internal,
13,ORDERQUANTITY,OrderQuantity,,QUAN,2,0,2,,Internal,
14,UNITPRICE,UnitPrice,,DEC,15,0,15,,Internal,
15,EXTENDEDAMOUNT,ExtendedAmount,,DEC,15,0,15,,Internal,
16,DISCOUNTPERCENTA,DiscountPercentage,,FLTP,16,16,5,,Internal,
17,DISCOUNTAMOUNT,DiscountAmount,,DEC,15,0,15,,Internal,
18,PRODUCTSTANDARTC,ProductStandartCost,,DEC,15,0,15,,Internal,
19,TOTALPRODUCTCOST,TotalProductCost,,DEC,15,0,15,,Internal,
20,SALESAMOUNT,SalesAmount,,DEC,15,0,15,,Internal,
21,TAXAMOUNT,TaxAmount,,DEC,15,0,15,,Internal,
22,FREIGHT,Freight,,CHAR,8,0,8,,Internal,
23,CARRIERTRACKINGN,CarrierTrackingNumbe,,CHAR,12,0,12,,Internal,
24,CUSTOMERPURCHASE,CustomerPurchaseOrde,,CHAR,20,0,20,,Internal,
25,ORDER,Order,,DATS,8,0,13,RSDAT,External,
26,DUE,Due,,DATS,8,0,14,RSDAT,External,
27,SHIP,Ship,,DATS,8,0,13,RSDAT,External,
28,CURRENCY,Currency,,CUKY,5,0,5,RSCUK,External,
