TABNAME,FIELDNAME,AS4LOCAL,AS4VERS,POSITION,KEYFLAG,MANDATORY,ROLLNAME,CHECKTABLE,ADMINFIELD,INTTYPE,INTLEN,REFTABLE,PRECFIELD,REFFIELD,CONROUT,NOTNULL,DATATYPE,LENG,DECIMALS,DOMNAME,SHLPORIGIN,TABLETYPE,DEPTH,COMPTYPE,REFTYPE,LANGUFLAG,DBPOSITION,ANONYMOUS,OUTPUTSTYLE
/BIC/VTD_RS2,0RECORDMODE,A,0,7,,,RODMUPDMOD,,0,C,2,,,,,,CHAR,1,0,RODMUPDMOD,F,,0,E,,,0,,0
/BIC/VTD_RS2,MD_CPON,A,0,6,X,,/BIC/OIMD_CPON,*,0,C,40,,,,,,CHAR,20,0,/BIC/OMD_CPON,D,,0,E,,,0,,0
/BIC/VTD_RS2,MD_CTN,A,0,13,,,/BIC/OIMD_CTN,*,0,C,24,,,,,,CHAR,12,0,/BIC/OMD_CTN,D,,0,E,,,0,,0
/BIC/VTD_RS2,MD_CURR,A,0,8,,,/BIC/OIMD_CURR,*,0,N,6,,,,,,NUMC,3,0,/BIC/OMD_CURR,D,,0,E,,,0,,0
/BIC/VTD_RS2,MD_CURRN,A,0,19,,,/BIC/OIMD_CURRN,*,0,C,10,,,,,,CUKY,5,0,WAERS,D,,0,E,,,0,,0
/BIC/VTD_RS2,MD_DA,A,0,22,,,/BIC/OIMD_DA,,0,P,9,/BIC/VTD_RS2,,MD_CURRN,,,CURR,17,2,RSKYFAMO,,,0,E,,,0,,0
/BIC/VTD_RS2,MD_DD,A,0,15,,,/BIC/OIMD_DD,,0,D,16,,,,,,DATS,8,0,DATUM,T,,0,E,,,0,,0
/BIC/VTD_RS2,MD_DISPER,A,0,21,,,/BIC/OIMD_DISPER,,0,F,8,RSDKYF,,FIXUNIT,,,FLTP,16,16,RSKYFFLO,,,0,E,,,0,,0
/BIC/VTD_RS2,MD_EMP,A,0,3,X,,/BIC/OIMD_EMP,*,0,N,8,,,,,,NUMC,4,0,/BIC/OMD_EMP,D,,0,E,,,0,,0
/BIC/VTD_RS2,MD_EXAM,A,0,20,,,/BIC/OIMD_EXAM,,0,P,9,/BIC/VTD_RS2,,MD_CURRN,,,CURR,17,2,RSKYFAMO,,,0,E,,,0,,0
/BIC/VTD_RS2,MD_FRG,A,0,11,,,/BIC/OIMD_FRG,*,0,C,16,,,,,,CHAR,8,0,/BIC/OMD_FRG,D,,0,E,,,0,,0
/BIC/VTD_RS2,MD_OQ,A,0,17,,,/BIC/OIMD_OQ,,0,P,9,RSDKYF,,FIXUNIT,,,QUAN,17,3,RSKYFQUA,,,0,E,,,0,,0
/BIC/VTD_RS2,MD_ORD,A,0,14,,,/BIC/OIMD_ORD,,0,D,16,,,,,,DATS,8,0,DATUM,T,,0,E,,,0,,0
/BIC/VTD_RS2,MD_PROD,A,0,1,X,,/BIC/OIMD_PROD,*,0,N,8,,,,,,NUMC,4,0,/BIC/OMD_PROD,D,,0,E,,,0,,0
/BIC/VTD_RS2,MD_PROM,A,0,4,X,,/BIC/OIMD_PROM,*,0,N,6,,,,,,NUMC,3,0,/BIC/OMD_PROM,D,,0,E,,,0,,0
/BIC/VTD_RS2,MD_PRST,A,0,23,,,/BIC/OIMD_PRST,,0,P,9,/BIC/VTD_RS2,,MD_CURRN,,,CURR,17,2,RSKYFAMO,,,0,E,,,0,,0
/BIC/VTD_RS2,MD_REVNUM,A,0,12,,,/BIC/OIMD_REVNUM,*,0,N,2,,,,,,NUMC,1,0,/BIC/OMD_REVNUM,D,,0,E,,,0,,0
/BIC/VTD_RS2,MD_RS,A,0,2,X,,/BIC/OIMD_RS,*,0,N,8,,,,,,NUMC,4,0,/BIC/OMD_RS,D,,0,E,,,0,,0
/BIC/VTD_RS2,MD_SA,A,0,25,,,/BIC/OIMD_SA,,0,P,9,/BIC/VTD_RS2,,MD_CURRN,,,CURR,17,2,RSKYFAMO,,,0,E,,,0,,0
/BIC/VTD_RS2,MD_SHD,A,0,16,,,/BIC/OIMD_SHD,,0,D,16,,,,,,DATS,8,0,DATUM,T,,0,E,,,0,,0
/BIC/VTD_RS2,MD_SOLN,A,0,10,,,/BIC/OIMD_SOLN,*,0,N,4,,,,,,NUMC,2,0,/BIC/OMD_SOLN,D,,0,E,,,0,,0
/BIC/VTD_RS2,MD_SON,A,0,9,,,/BIC/OIMD_SON,*,0,C,14,,,,,,CHAR,7,0,/BIC/OMD_SON,D,,0,E,,,0,,0
/BIC/VTD_RS2,MD_S_TY,A,0,5,X,,/BIC/OIMD_S_TY,*,0,N,6,,,,,,NUMC,3,0,/BIC/OMD_S_TY,D,,0,E,,,0,,0
/BIC/VTD_RS2,MD_TA,A,0,26,,,/BIC/OIMD_TA,,0,P,9,/BIC/VTD_RS2,,MD_CURRN,,,CURR,17,2,RSKYFAMO,,,0,E,,,0,,0
/BIC/VTD_RS2,MD_TPC,A,0,24,,,/BIC/OIMD_TPC,,0,P,9,/BIC/VTD_RS2,,MD_CURRN,,,CURR,17,2,RSKYFAMO,,,0,E,,,0,,0
/BIC/VTD_RS2,MD_UNPR,A,0,18,,,/BIC/OIMD_UNPR,,0,P,9,/BIC/VTD_RS2,,MD_CURRN,,,CURR,17,2,RSKYFAMO,,,0,E,,,0,,0
