06.06.2025                                                                                                    Dynamic List Display                                                                                                                                                             1


	/BIC/MD_RS	OBJVERS	CHANGED	/BIC/MD_RS_NK	/BIC/MD_PH	/BIC/MD_RS_TP	/BIC/MD_RS_EN	/BIC/MD_RS_OF	/BIC/MD_RS_FY	/BIC/MD_RS_LY	/BIC/MD_RS_PL	/BIC/MD_AD	/BIC/MD_RS_AS	/BIC/MD_RS_BN	/BIC/MD_RS_PT	/BIC/MD_RS_PA	/BIC/MD_RS_AR	/BIC/MD_RS_YO

	      0000	A					           0		         0000	         0000			           0		           00	           0	           0	         0000
	      0001	A		AW00000001	245-555-0173	VALUE ADDED RESELLER	           2	S	         2005	         2006	ROAD	2251 ELLIOT AVENUE	     300.000	INTERNATIONAL BANK	           00	           0	      30.000	         1974
	      0002	A		AW00000002	170-555-0127	SPECIALTY BIKE SHOP	          10	A	         2006	         2008	MOUNTAIN	3207 S GRADY WAY	     800.000	INTERNATIONAL SECURITY	           01	           0	      80.000	         1976
	      0003	A		AW00000003	279-555-0130	WAREHOUSE	          40	Q	         2005	         2008	ROAD	12345 STERLING AVENUE	   1.500.000	PRIMARY INTERNATIONAL	           02	           0	     150.000	         1978
	      0004	A		AW00000004	710-555-0173	VALUE ADDED RESELLER	           5	S	         2006	         2008	ROAD	800 INTERCHANGE BLVD.	     300.000	UNITED SECURITY	           03	         600	      30.000	         1980
	      0005	A		AW00000005	828-555-0186	SPECIALTY BIKE SHOP	          13	A	         2006	         2008	ROAD	482505 WARM SPRINGS BLVD.	     800.000	PRIMARY BANK & RESERVE	           00	           0	      80.000	         1982
	      0006	A		AW00000006	244-555-0112	WAREHOUSE	          43	Q	         2007	         2008	ROAD	39933 MISSION OAKS BLVD	   1.500.000	GUARDIAN BANK	           01	           0	     150.000	         1984
	      0007	A		AW00000007	192-555-0173	VALUE ADDED RESELLER	           8	S	         2006	         2007	MOUNTAIN	5420 WEST 22500 SOUTH	     300.000	RESERVE SECURITY	           02	           0	      30.000	         1986
	      0008	A		AW00000008	872-555-0171	SPECIALTY BIKE SHOP	          16	A	         2007	         2008	TOURING	79945 CORPORATE CENTER DRIVE	     800.000	INTERNATIONAL BANK	           03	         600	      80.000	         1988
	      0009	A		AW00000009	488-555-0130	WAREHOUSE	          46	Q	         2006	         2008	MOUNTAIN	3333 MICRO DRIVE	   1.500.000	INTERNATIONAL SECURITY	           03	       1.000	     150.000	         1990
	      0010	A		AW00000010	150-555-0127	VALUE ADDED RESELLER	          11	S	         2006	         2008	MOUNTAIN	6388 LAKE CITY WAY	     800.000	PRIMARY INTERNATIONAL	           02	           0	      80.000	         1992
	      0011	A		AW00000011	926-555-0159	SPECIALTY BIKE SHOP	          19	A	         2005	         2006	MOUNTAIN	52560 FREE STREET	     800.000	UNITED SECURITY	           01	           0	      80.000	         1994
	      0012	A		AW00000012	112-555-0191	WAREHOUSE	          49	Q	         2006	         2008	ROAD	22580 FREE STREET	   1.500.000	PRIMARY BANK & RESERVE	           00	           0	     150.000	         1996
	      0013	A		AW00000013	1 (11) 500 555-0127	VALUE ADDED RESELLER	          14	S	         0000	         0000	ROAD	7033, RUE DE LONGCHAMP	     800.000	GUARDIAN BANK	           01	           0	      80.000	         1998
	      0014	A		AW00000014	1 (11) 500 555-0167	SPECIALTY BIKE SHOP	          22	A	         2007	         2008	MOUNTAIN	KARL LIEBKNECHT STR 299	   1.000.000	RESERVE SECURITY	           02	           0	     100.000	         2000
	      0015	A		AW00000015	1 (11) 500 555-0140	WAREHOUSE	          52	Q	         2007	         2008	MOUNTAIN	25 EPPING ROAD	   3.000.000	INTERNATIONAL BANK	           03	         600	     300.000	         2002
	      0016	A		AW00000016	1 (11) 500 555-0132	VALUE ADDED RESELLER	          17	S	         2006	         2008	ROAD	93-2501, BLACKFRIARS ROAD,	     800.000	INTERNATIONAL SECURITY	           00	           0	      80.000	         2004
	      0017	A		AW00000017	497-555-0147	SPECIALTY BIKE SHOP	          25	A	         2005	         2008	MOUNTAIN	9920 PICKETTS LINE ROAD	   1.000.000	PRIMARY INTERNATIONAL	           01	           0	     100.000	         2005
	      0018	A		AW00000018	440-555-0132	WAREHOUSE	          55	Q	         2005	         2008	MOUNTAIN	855 EAST MAIN AVENUE	   3.000.000	UNITED SECURITY	           02	           0	     300.000	         2003
	      0019	A		AW00000019	521-555-0195	VALUE ADDED RESELLER	          20	S	         2007	         2007	ROAD	99300 223RD SOUTHEAST	   1.000.000	PRIMARY BANK & RESERVE	           03	         600	     100.000	         2004
	      0020	A		AW00000020	582-555-0113	SPECIALTY BIKE SHOP	          28	A	         2005	         2008	MOUNTAIN	259826 RUSSELL RD. SOUTH	   1.000.000	GUARDIAN BANK	           03	         600	     100.000	         1975
	      0021	A		AW00000021	928-555-0116	WAREHOUSE	          58	Q	         2006	         2008	MOUNTAIN	90025 STERLING ST	   3.000.000	RESERVE SECURITY	           02	           0	     300.000	         2003
	      0022	A		AW00000022	121-555-0121	VALUE ADDED RESELLER	          19	S	         2005	         2008	ROAD	2505 GATEWAY DRIVE	     800.000	INTERNATIONAL BANK	           01	           0	      80.000	         1979
	      0023	A		AW00000023	216-555-0122	SPECIALTY BIKE SHOP	          31	A	         2006	         2008	MOUNTAIN	60025 BOLLINGER CANYON ROAD	   1.500.000	INTERNATIONAL SECURITY	           00	           0	     150.000	         2002
	      0024	A		AW00000024	926-555-0164	WAREHOUSE	          61	Q	         2006	         2008	ROAD	9992 WHIPPLE RD	   3.000.000	PRIMARY INTERNATIONAL	           01	           0	     300.000	         1983
