06.06.25 Dynamic List Display                                                  1


	/BIC/MD_PROD	TXTMD

	        0001	Adjustable Race
	        0002	Bearing Ball
	        0003	BB Ball Bearing
	        0004	Headset Ball Bearings
	        0005	Blade
	        0006	LL Crankarm
	        0007	ML Crankarm
	        0008	HL Crankarm
	        0009	Chainring Bolts
	        0010	Chainring Nut
	        0011	Chainring
	        0012	Crown Race
	        0013	Chain Stays
	        0014	Decal 1
	        0015	Decal 2
	        0016	Down Tube
	        0017	Mountain End Caps
	        0018	Road End Caps
	        0019	Touring End Caps
	        0020	Fork End
	        0021	Freewheel
	        0022	Flat Washer 1
	        0023	Flat Washer 6
	        0024	Flat Washer 2
	        0025	Flat Washer 9
	        0026	Flat Washer 4
	        0027	Flat Washer 3
	        0028	Flat Washer 8
	        0029	Flat Washer 5
	        0030	Flat Washer 7
	        0031	Fork Crown
	        0032	Front Derailleur Cage
	        0033	Front Derailleur Linkage
	        0034	Guide Pulley
	        0035	LL Grip Tape
	        0036	ML Grip Tape
	        0037	HL Grip Tape
	        0038	Thin-Jam Hex Nut 9
	        0039	Thin-Jam Hex Nut 10
	        0040	Thin-Jam Hex Nut 1
	        0041	Thin-Jam Hex Nut 2
	        0042	Thin-Jam Hex Nut 15
	        0043	Thin-Jam Hex Nut 16
	        0044	Thin-Jam Hex Nut 5
	        0045	Thin-Jam Hex Nut 6
	        0046	Thin-Jam Hex Nut 3
	        0047	Thin-Jam Hex Nut 4
	        0048	Thin-Jam Hex Nut 13
	        0049	Thin-Jam Hex Nut 14
	        0050	Thin-Jam Hex Nut 7
	        0051	Thin-Jam Hex Nut 8
	        0052	Thin-Jam Hex Nut 12
	        0053	Thin-Jam Hex Nut 11
	        0054	Hex Nut 5
	        0055	Hex Nut 6
	        0056	Hex Nut 16
	        0057	Hex Nut 17
	        0058	Hex Nut 7
	        0059	Hex Nut 8
	        0060	Hex Nut 9
	        0061	Hex Nut 22
	        0062	Hex Nut 23
	        0063	Hex Nut 12
	        0064	Hex Nut 13
	        0065	Hex Nut 1
	        0066	Hex Nut 10
	        0067	Hex Nut 11
	        0068	Hex Nut 2
	        0069	Hex Nut 20
	        0070	Hex Nut 21
	        0071	Hex Nut 3
	        0072	Hex Nut 14
	        0073	Hex Nut 15
	        0074	Hex Nut 4
	        0075	Hex Nut 18
	        0076	Hex Nut 19
	        0077	Handlebar Tube
	        0078	Head Tube
	        0079	LL Hub
	        0080	HL Hub
	        0081	Keyed Washer
	        0082	External Lock Washer 3
	        0083	External Lock Washer 4
	        0084	External Lock Washer 9
	        0085	External Lock Washer 5
	        0086	External Lock Washer 7
	        0087	External Lock Washer 6
	        0088	External Lock Washer 1
	        0089	External Lock Washer 8
	        0090	External Lock Washer 2
	        0091	Internal Lock Washer 3
	        0092	Internal Lock Washer 4
	        0093	Internal Lock Washer 9
	        0094	Internal Lock Washer 5
	        0095	Internal Lock Washer 7
	        0096	Internal Lock Washer 6
	        0097	Internal Lock Washer 10
	        0098	Internal Lock Washer 1
	        0099	Internal Lock Washer 8
	        0100	Internal Lock Washer 2
	        0101	Thin-Jam Lock Nut 9
	        0102	Thin-Jam Lock Nut 10
	        0103	Thin-Jam Lock Nut 1
	        0104	Thin-Jam Lock Nut 2
	        0105	Thin-Jam Lock Nut 15
	        0106	Thin-Jam Lock Nut 16
	        0107	Thin-Jam Lock Nut 5
	        0108	Thin-Jam Lock Nut 6
	        0109	Thin-Jam Lock Nut 3
	        0110	Thin-Jam Lock Nut 4
	        0111	Thin-Jam Lock Nut 13
	        0112	Thin-Jam Lock Nut 14
	        0113	Thin-Jam Lock Nut 7
	        0114	Thin-Jam Lock Nut 8
	        0115	Thin-Jam Lock Nut 12
	        0116	Thin-Jam Lock Nut 11
	        0117	Lock Nut 5
	        0118	Lock Nut 6
	        0119	Lock Nut 16
	        0120	Lock Nut 17
	        0121	Lock Nut 7
	        0122	Lock Nut 8
	        0123	Lock Nut 9
	        0124	Lock Nut 22
	        0125	Lock Nut 23
	        0126	Lock Nut 12
	        0127	Lock Nut 13
	        0128	Lock Nut 1
	        0129	Lock Nut 10
	        0130	Lock Nut 11
	        0131	Lock Nut 2
	        0132	Lock Nut 20
	        0133	Lock Nut 21
