06.06.2025                                                  Dynamic List Display                                                                                                            1


	KYFNM	OBJVERS	KYFTP	NCUMFL	FIXCUKY	FIXUNIT	AGGRGEN	AGGREXC	AGGRCHA	KYFDECIM	KYFPRSNT	KYFNAV	UNINM	DOMANM	PACKFL	KYFSEMANTIC	STOCK_COVER_CALCTYPE	STOCK_COVER_PERIODS	DATATP	TXTDEF

	MD_CNT	A	INT				SUM	SUM										                 0	INT4
	MD_CU_NC	A	INT				SUM	SUM										                 0	INT4
	MD_CU_YI	A	NUM				SUM	SUM										                 0	DEC
	MD_DA	A	AMO				SUM	SUM					MD_CURRN					                 0	CURR
	MD_DISPER	A	NUM				SUM	SUM										                 0	FLTP
	MD_EXAM	A	AMO				SUM	SUM					MD_CURRN					                 0	CURR
	MD_GPF	A	AMO				SUM	SUM					MD_CURRN					                 0	CURR
	MD_NPF	A	AMO				SUM	SUM					MD_CURRN					                 0	CURR
	MD_OQ	A	QUA			ST	SUM	SUM										                 0	QUAN
	MD_PRST	A	AMO				SUM	SUM					MD_CURRN					                 0	CURR
	MD_PR_RP	A	INT				SUM	SUM										                 0	INT4
	MD_PR_SS	A	INT				SUM	MAX	0CALDAY									                 0	INT4
	MD_PR_UP	A	NUM				SUM	SUM							X			                 0	DEC
	MD_PR_V	A	NUM				SUM	SUM										                 0	DEC
	MD_PR_WG	A	QUA				SUM	SUM		3			MD_QUAN					                 0	FLTP
	MD_RS_AR	A	INT				SUM	SUM										                 0	INT4
	MD_RS_AS	A	INT				SUM	SUM										                 0	INT4
	MD_RS_EN	A	INT				SUM	SUM										                 0	INT4
	MD_RS_PA	A	INT				SUM	SUM										                 0	INT4
	MD_SA	A	AMO				SUM	SUM					MD_CURRN					                 0	CURR
	MD_TA	A	AMO				SUM	SUM					MD_CURRN					                 0	CURR
	MD_TPC	A	AMO				SUM	SUM					MD_CURRN					                 0	CURR
	MD_UNPR	A	AMO				SUM	SUM					MD_CURRN					                 0	CURR
