06.06.25 Dynamic List Display                                                  1


	/BIC/MD_S_TY	OBJVERS	CHANGED	/BIC/MD_CNTR	/BIC/MD_C_GR

	         000	A
	         001	A		UNITED STATES	NORTH AMERICA
	         002	A		UNITED STATES	NORTH AMERICA
	         003	A		UNITED STATES	NORTH AMERICA
	         004	A		UNITED STATES	NORTH AMERICA
	         005	A		UNITED STATES	NORTH AMERICA
	         006	A		CANADA	NORTH AMERICA
	         007	A		FRANCE	EUROPE
	         008	A		GERMANY	EUROPE
	         009	A		AUSTRALIA	PACIFIC
	         010	A		UNITED KINGDOM	EUROPE
