06.06.25 Dynamic List Display                                                  1


	/BIC/MD_PROM	DATETO	DATEFROM	TXTMD

	         001	31.05.2005	01.01.1000
	         001	31.12.2008	01.06.2005	No Discount
	         001	31.12.9999	01.01.2009
	         002	30.06.2005	01.01.1000
	         002	30.06.2008	01.07.2005	Volume Discount 11 to 14
	         002	31.12.9999	01.07.2008
	         003	30.06.2005	01.01.1000
	         003	30.06.2008	01.07.2005	Volume Discount 15 to 24
	         003	31.12.9999	01.07.2008
	         004	30.06.2005	01.01.1000
	         004	30.06.2008	01.07.2005	Volume Discount 25 to 40
	         004	31.12.9999	01.07.2008
	         005	30.06.2005	01.01.1000
	         005	30.06.2008	01.07.2005	Volume Discount 41 to 60
	         005	31.12.9999	01.07.2008
	         006	30.06.2005	01.01.1000
	         006	30.06.2008	01.07.2005	Volume Discount over 60
	         006	31.12.9999	01.07.2008
	         007	14.05.2006	01.01.1000
	         007	30.06.2006	15.05.2006	Mountain-100 Clearance Sale
	         007	31.12.9999	01.07.2006
	         008	30.06.2006	01.01.1000
	         008	31.07.2006	01.07.2006	Sport Helmet Discount-2002
	         008	31.12.9999	01.08.2006
	         009	30.06.2006	01.01.1000
	         009	31.08.2006	01.07.2006	Road-650 Overstock
	         009	31.12.9999	01.09.2006
	         010	14.06.2007	01.01.1000
	         010	30.08.2007	15.06.2007	Mountain Tire Sale
	         010	31.12.9999	31.08.2007
	         011	30.06.2007	01.01.1000
	         011	31.07.2007	01.07.2007	Sport Helmet Discount-2003
	         011	31.12.9999	01.08.2007
	         012	30.06.2007	01.01.1000
	         012	15.08.2007	01.07.2007	LL Road Frame Sale
	         012	31.12.9999	16.08.2007
	         013	30.06.2007	01.01.1000
	         013	30.09.2007	01.07.2007	Touring-3000 Promotion
	         013	31.12.9999	01.10.2007
	         014	30.06.2007	01.01.1000
	         014	30.09.2007	01.07.2007	Touring-1000 Promotion
	         014	31.12.9999	01.10.2007
	         015	14.08.2007	01.01.1000
	         015	15.09.2007	15.08.2007	Half-Price Pedal Sale
	         015	31.12.9999	16.09.2007
	         016	30.04.2008	01.01.1000
	         016	30.06.2008	01.05.2008	Mountain-500 Silver Clearance Sale
	         016	31.12.9999	01.07.2008
	         017	09.08.2007	01.01.1000
	         017	10.08.2008	10.08.2007	VOLUME DISCOUNT
	         017	31.12.9999	11.08.2008
