06.06.25 Dynamic List Display                                                  1


	/BIC/MD_PR_SC	OBJVERS	CHANGED	/BIC/MD_PR_CG

	          000	A		          000
	          001	A		          001
	          002	A		          001
	          003	A		          001
	          004	A		          002
	          005	A		          002
	          006	A		          002
	          007	A		          002
	          008	A		          002
	          009	A		          002
	          010	A		          002
	          011	A		          002
	          012	A		          002
	          013	A		          002
	          014	A		          002
	          015	A		          002
	          016	A		          002
	          017	A		          002
	          018	A		          003
	          019	A		          003
	          020	A		          003
	          021	A		          003
	          022	A		          003
	          023	A		          003
	          024	A		          003
	          025	A		          003
	          026	A		          004
	          027	A		          004
	          028	A		          004
	          029	A		          004
	          030	A		          004
	          031	A		          004
	          032	A		          004
	          033	A		          004
	          034	A		          004
	          035	A		          004
	          036	A		          004
	          037	A		          004
